%%TimeStamp	dp_x	dp_y	dp_z	dv_x	dv_y	dv_z	dq_x	dq_y	dq_z	dq_w	Dp_x	Dp_y	Dp_z	Dv_x	Dv_y	Dv_z	Dq_x	Dq_y	Dq_z	Dq_w	X_x	X_y	X_z	Xv_x	Xv_y	Xv_z	Xq_x	Xq_y	Xq_z	Xq_w	
0.001	-6.71325e-10	-3.14457e-09	4.901e-06	-1.34265e-06	-6.28914e-06	0.009802	8.72665e-05	1.74533e-05	3.49066e-05	1	0.000999999	0.002	0.0019951	0.999999	2.00001	1.9902	1	-3.49066e-05	1.74533e-05	-8.72665e-05	0.002	-3.14457e-09	1e-09	2	-6.28914e-06	2e-06	-8.72665e-05	-1.74533e-05	-3.49066e-05	-1
0.002	-1.34287e-09	-6.29045e-09	4.897e-06	-2.68574e-06	-1.25809e-05	0.009794	8.72665e-05	1.74533e-05	3.49066e-05	1	0.002	0.00400002	0.0039804	0.999996	2.00002	1.9804	1	-6.98132e-05	3.49066e-05	-0.000174533	0.004	-1.65789e-08	-1.1286e-12	2	-2.05796e-05	-4.00226e-06	-0.000174533	-3.49066e-05	-6.98132e-05	-1
0.003	-2.01464e-09	-9.4376e-09	4.893e-06	-4.02927e-06	-1.88752e-05	0.00978601	8.72665e-05	1.74533e-05	3.49066e-05	1	0.00299999	0.00600005	0.00595591	0.999993	2.00004	1.97062	1	-0.00010472	5.23599e-05	-0.000261799	0.00599999	-4.83044e-08	-1.10018e-08	1.99999	-4.28713e-05	-1.79992e-05	-0.000261799	-5.23599e-05	-0.00010472	-1
0.004	-2.68662e-09	-1.2586e-08	4.88901e-06	-5.37324e-06	-2.5172e-05	0.00977802	8.72665e-05	1.74533e-05	3.49066e-05	1	0.00399998	0.00800011	0.00792164	0.999989	2.00007	1.96084	1	-0.000139626	6.98132e-05	-0.000349066	0.00799998	-1.06322e-07	-3.9998e-08	1.99999	-7.3164e-05	-3.99932e-05	-0.000349066	-6.98132e-05	-0.000139626	-1
0.005	-3.35882e-09	-1.57357e-08	4.88502e-06	-6.71764e-06	-3.14713e-05	0.00977003	8.72665e-05	1.74533e-05	3.49066e-05	1	0.00499997	0.0100002	0.00987759	0.999983	2.00011	1.95107	1	-0.000174533	8.72665e-05	-0.000436332	0.00999997	-1.98633e-07	-9.4988e-08	1.99998	-0.000111458	-6.99867e-05	-0.000436332	-8.72665e-05	-0.000174533	-1
0.006	-4.03124e-09	-1.88866e-08	4.88102e-06	-8.06248e-06	-3.77731e-05	0.00976204	8.72665e-05	1.74533e-05	3.49066e-05	1	0.00599995	0.0120003	0.0118238	0.999977	2.00016	1.94131	1	-0.00020944	0.00010472	-0.000523599	0.0119999	-3.33238e-07	-1.83972e-07	1.99998	-0.000157752	-0.000107982	-0.000523599	-0.00010472	-0.00020944	-1
0.007	-4.70388e-09	-2.20387e-08	4.87703e-06	-9.40776e-06	-4.40774e-05	0.00975406	8.72665e-05	1.74533e-05	3.49066e-05	1	0.00699992	0.0140005	0.0137602	0.99997	2.00021	1.93155	1	-0.000244346	0.000122173	-0.000610865	0.0139999	-5.18138e-07	-3.14949e-07	1.99997	-0.000212048	-0.000153972	-0.000610865	-0.000122173	-0.000244346	-1
0.008	-5.37675e-09	-2.5192e-08	4.87304e-06	-1.07535e-05	-5.0384e-05	0.00974608	8.72665e-05	1.74533e-05	3.49066e-05	1	0.00799989	0.0160008	0.0156869	0.999961	2.00027	1.92181	1	-0.000279253	0.000139626	-0.000698132	0.0159999	-7.61334e-07	-4.95915e-07	1.99996	-0.000274343	-0.000207958	-0.000698132	-0.000139626	-0.000279253	-1
0.009	-6.0498e-09	-2.83465e-08	4.86905e-06	-1.20996e-05	-5.6693e-05	0.0097381	8.72665e-05	1.74533e-05	3.49066e-05	1	0.00899984	0.0180011	0.0176038	0.999952	2.00034	1.91207	1	-0.000314159	0.00015708	-0.000785398	0.0179998	-1.07082e-06	-7.34866e-07	1.99995	-0.000344639	-0.000269944	-0.000785398	-0.00015708	-0.000314159	-1
0.01	-6.7231e-09	-3.15022e-08	4.86507e-06	-1.34462e-05	-6.30043e-05	0.00973013	8.72665e-05	1.74533e-05	3.49066e-05	1	0.00999979	0.0200015	0.019511	0.999942	2.00042	1.90234	1	-0.000349066	0.000174533	-0.000872665	0.0199998	-1.45461e-06	-1.0398e-06	1.99994	-0.000422935	-0.000339921	-0.000872665	-0.000174533	-0.000349066	-1
0.011	-7.3966e-09	-3.46589e-08	4.86107e-06	-1.47932e-05	-6.93179e-05	0.00972215	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0109997	0.0220019	0.0214085	0.99993	2.00051	1.89262	0.999999	-0.000383973	0.000191986	-0.000959931	0.0219997	-1.92069e-06	-1.41871e-06	1.99993	-0.00050923	-0.000417903	-0.000959931	-0.000191986	-0.000383973	-0.999999
0.012	-8.0703e-09	-3.78169e-08	4.85709e-06	-1.61406e-05	-7.56338e-05	0.00971418	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0119997	0.0240025	0.0232963	0.999918	2.0006	1.8829	0.999999	-0.000418879	0.00020944	-0.0010472	0.0239997	-2.47707e-06	-1.8796e-06	1.99992	-0.000603525	-0.00050388	-0.0010472	-0.00020944	-0.000418879	-0.999999
0.013	-8.74425e-09	-4.0976e-08	4.85311e-06	-1.74885e-05	-8.1952e-05	0.00970622	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0129996	0.0260031	0.0251743	0.999905	2.00071	1.8732	0.999999	-0.000453786	0.000226893	-0.00113446	0.0259996	-3.13174e-06	-2.43047e-06	1.9999	-0.000705818	-0.000597847	-0.00113446	-0.000226893	-0.000453786	-0.999999
0.014	-9.4184e-09	-4.41362e-08	4.84913e-06	-1.88368e-05	-8.82723e-05	0.00969825	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0139995	0.0280039	0.0270427	0.99989	2.00082	1.8635	0.999999	-0.000488692	0.000244346	-0.00122173	0.0279995	-3.89271e-06	-3.0793e-06	1.99989	-0.00081611	-0.000699814	-0.00122173	-0.000244346	-0.000488692	-0.999999
0.015	-1.00927e-08	-4.72974e-08	4.84514e-06	-2.01855e-05	-9.45948e-05	0.00969029	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0149993	0.0300048	0.0289013	0.999875	2.00093	1.85381	0.999999	-0.000523599	0.000261799	-0.001309	0.0299993	-4.76796e-06	-3.83409e-06	1.99987	-0.0009344	-0.000809776	-0.001309	-0.000261799	-0.000523599	-0.999999
